Variable,ID,MeanRT,ER,Prestime,Noerrors,Syncon
Label,Participant ID,Mean RT (ms),Error rate,Presentation Time,No of errors,Synaesthete or control
,1,623.50,0.00,1.00,0.0,1.00
,1,628.00,5.56,2.00,1.0,1.00
,1,715.50,0.00,3.00,0.0,1.00
,3,733.20,0.00,1.00,0.0,1.00
,3,607.40,5.56,2.00,1.0,1.00
,3,691.20,0.00,3.00,0.0,1.00
,4,455.00,5.56,1.00,1.0,1.00
,4,474.10,0.00,2.00,0.0,1.00
,4,591.30,11.11,3.00,2.0,1.00
,5,762.60,0.00,1.00,0.0,1.00
,5,815.10,0.00,2.00,0.0,1.00
,5,873.10,11.11,3.00,2.0,1.00
,6,1216.90,5.56,1.00,1.0,1.00
,6,992.70,11.11,2.00,2.0,1.00
,6,754.00,5.56,3.00,1.0,1.00
,8,428.50,0.00,1.00,0.0,1.00
,8,454.60,5.56,2.00,1.0,1.00
,8,454.60,0.00,3.00,0.0,1.00
,18,695.60,0.00,1.00,0.0,2.00
,18,647.40,0.00,2.00,0.0,2.00
,18,993.60,16.67,3.00,3.0,2.00
,19,580.60,0.00,1.00,0.0,2.00
,19,598.10,0.00,2.00,0.0,2.00
,19,962.60,5.56,3.00,1.0,2.00
,20,491.80,0.00,1.00,0.0,2.00
,20,434.70,5.56,2.00,1.0,2.00
,20,540.70,11.11,3.00,2.0,2.00
